country,n,traps,p1_missing,p2_missing,any_missing,both_missing,p1_missing_percent,p2_missing_percent,any_missing_percent,both_missing_percent
Albania,455,15,15,38,43,10,3.2967032967032965,8.351648351648352,9.45054945054945,2.197802197802198
Austria,2798,167,435,608,758,285,15.546819156540385,21.729807005003575,27.090779127948533,10.185847033595426
Cyprus,12,12,2,12,12,2,16.666666666666668,100.0,100.0,16.666666666666668
Greece,277,17,18,33,33,18,6.498194945848375,11.913357400722022,11.913357400722022,6.498194945848375
Hungary,4,2,3,4,4,3,75.0,100.0,100.0,75.0
Italy,378,24,39,67,72,34,10.317460317460318,17.724867724867725,19.047619047619047,8.994708994708995
Moldova,13,8,10,10,13,7,76.92307692307692,76.92307692307692,100.0,53.84615384615385
Portugal,175,15,10,40,40,10,5.714285714285714,22.857142857142858,22.857142857142858,5.714285714285714
Serbia,29,10,22,24,28,18,75.86206896551724,82.75862068965517,96.55172413793103,62.06896551724138
Slovakia,9,9,1,9,9,1,11.11111111111111,100.0,100.0,11.11111111111111
Spain,916,79,105,207,224,88,11.462882096069869,22.59825327510917,24.45414847161572,9.606986899563319
Switzerland,8,8,8,8,8,8,100.0,100.0,100.0,100.0
The Netherlands,55,21,12,31,32,11,21.818181818181817,56.36363636363637,58.18181818181818,20.0
