row_index,id_trap,country,start_date,end_date,weeklyRates,samplingEffort Days,prev1_rates,prev2_rates,p1_missing,p2_missing,any_missing,both_missing,availability,positive,weekly_series_position,gap_from_previous_weekly_record_days,p1_source_matches_saved,p1_has_weekly_source,p1_history_window_before_first_record,p1_has_any_earlier_record,p2_source_matches_saved,p2_has_weekly_source,p2_history_window_before_first_record,p2_has_any_earlier_record
0,22,Cyprus,2020-06-17,2020-06-24,0.0,7.0,0.0,,False,True,True,False,p2_only_missing,False,1,,True,False,False,True,True,False,False,True
1,24,Cyprus,2020-06-17,2020-06-24,0.0,7.0,0.0,,False,True,True,False,p2_only_missing,False,1,,True,False,False,True,True,False,False,True
2,33,Cyprus,2020-10-09,2020-10-16,0.0,7.0,0.0,,False,True,True,False,p2_only_missing,False,1,,True,False,False,True,True,False,True,True
3,34,Cyprus,2020-10-09,2020-10-16,0.0,7.0,0.0,,False,True,True,False,p2_only_missing,False,1,,True,False,False,True,True,False,True,True
4,35,Cyprus,2020-10-09,2020-10-16,0.0,7.0,0.0,,False,True,True,False,p2_only_missing,False,1,,True,False,False,True,True,False,True,True
5,38,Cyprus,2020-06-17,2020-06-24,0.0,7.0,0.0,,False,True,True,False,p2_only_missing,False,1,,True,False,False,True,True,False,False,True
6,39,Cyprus,2020-06-17,2020-06-24,0.0,7.0,,,True,True,True,True,both_missing,False,1,,True,False,False,True,True,False,False,True
7,41,Cyprus,2020-06-17,2020-06-24,0.0,7.0,0.0,,False,True,True,False,p2_only_missing,False,1,,True,False,False,True,True,False,False,True
8,43,Cyprus,2020-10-09,2020-10-16,0.0,7.0,0.0,,False,True,True,False,p2_only_missing,False,1,,True,False,False,True,True,False,True,True
9,44,Cyprus,2020-10-09,2020-10-16,0.0,7.0,0.0,,False,True,True,False,p2_only_missing,False,1,,True,False,False,True,True,False,True,True
10,45,Cyprus,2020-10-09,2020-10-16,0.0,7.0,,,True,True,True,True,both_missing,False,1,,True,False,True,False,True,False,True,False
11,46,Cyprus,2020-10-09,2020-10-16,0.0,7.0,0.0,,False,True,True,False,p2_only_missing,False,1,,True,False,False,True,True,False,True,True
12,127,Portugal,2020-08-31,2020-09-07,10.0,8.0,0.5384615384615384,,False,True,True,False,p2_only_missing,True,1,,True,False,False,True,True,False,False,True
13,127,Portugal,2020-09-07,2020-09-14,17.0,7.0,10.0,0.5384615384615384,False,False,False,False,both_available,True,2,7.0,True,True,False,True,True,False,False,True
14,127,Portugal,2020-09-24,2020-09-30,7.0,6.0,19.055555555555557,,False,True,True,False,p2_only_missing,True,3,16.0,True,False,False,True,True,False,False,True
15,127,Portugal,2020-09-30,2020-10-06,0.0,7.0,7.0,19.055555555555557,False,False,False,False,both_available,False,4,6.0,True,True,False,True,True,False,False,True
16,127,Portugal,2020-10-06,2020-10-13,0.0,7.0,0.0,7.0,False,False,False,False,both_available,False,5,7.0,True,True,False,True,True,True,False,True
17,127,Portugal,2020-10-13,2020-10-19,0.0,6.0,0.0,0.0,False,False,False,False,both_available,False,6,6.0,True,True,False,True,True,True,False,True
18,127,Portugal,2020-10-19,2020-10-27,0.875,8.0,0.0,0.0,False,False,False,False,both_available,True,7,8.0,True,True,False,True,True,True,False,True
19,127,Portugal,2020-10-27,2020-11-02,3.5,7.0,0.875,0.0,False,False,False,False,both_available,True,8,6.0,True,True,False,True,True,True,False,True
20,128,Portugal,2020-08-31,2020-09-07,0.0,8.0,5.384615384615385,,False,True,True,False,p2_only_missing,False,1,,True,False,False,True,True,False,False,True
21,128,Portugal,2020-09-07,2020-09-14,0.0,7.0,0.0,5.384615384615385,False,False,False,False,both_available,False,2,7.0,True,True,False,True,True,False,False,True
22,128,Portugal,2020-09-24,2020-09-30,0.0,6.0,1.1666666666666667,,False,True,True,False,p2_only_missing,False,3,16.0,True,False,False,True,True,False,False,True
23,128,Portugal,2020-09-30,2020-10-06,0.0,7.0,0.0,1.1666666666666667,False,False,False,False,both_available,False,4,6.0,True,True,False,True,True,False,False,True
24,128,Portugal,2020-10-06,2020-10-13,0.0,7.0,0.0,0.0,False,False,False,False,both_available,False,5,7.0,True,True,False,True,True,True,False,True
25,128,Portugal,2020-10-13,2020-10-19,0.0,6.0,0.0,0.0,False,False,False,False,both_available,False,6,6.0,True,True,False,True,True,True,False,True
26,128,Portugal,2020-10-19,2020-10-27,0.0,8.0,0.0,0.0,False,False,False,False,both_available,False,7,8.0,True,True,False,True,True,True,False,True
27,128,Portugal,2020-10-27,2020-11-02,0.0,7.0,0.0,0.0,False,False,False,False,both_available,False,8,6.0,True,True,False,True,True,True,False,True
28,129,Portugal,2020-08-31,2020-09-07,3.0,8.0,0.0,,False,True,True,False,p2_only_missing,True,1,,True,False,False,True,True,False,False,True
29,129,Portugal,2020-09-07,2020-09-14,13.0,7.0,3.0,0.0,False,False,False,False,both_available,True,2,7.0,True,True,False,True,True,False,False,True
30,129,Portugal,2020-09-24,2020-09-30,0.0,6.0,38.5,,False,True,True,False,p2_only_missing,False,3,16.0,True,False,False,True,True,False,False,True
31,129,Portugal,2020-09-30,2020-10-06,2.3333333333333335,7.0,0.0,38.5,False,False,False,False,both_available,True,4,6.0,True,True,False,True,True,False,False,True
32,129,Portugal,2020-10-06,2020-10-13,0.0,7.0,2.3333333333333335,0.0,False,False,False,False,both_available,False,5,7.0,True,True,False,True,True,True,False,True
33,129,Portugal,2020-10-13,2020-10-19,0.0,6.0,0.0,2.3333333333333335,False,False,False,False,both_available,False,6,6.0,True,True,False,True,True,True,False,True
34,129,Portugal,2020-10-19,2020-10-27,0.0,8.0,0.0,0.0,False,False,False,False,both_available,False,7,8.0,True,True,False,True,True,True,False,True
35,129,Portugal,2020-10-27,2020-11-02,0.0,7.0,0.0,0.0,False,False,False,False,both_available,False,8,6.0,True,True,False,True,True,True,False,True
36,130,Portugal,2020-08-31,2020-09-07,0.0,8.0,2.6923076923076925,,False,True,True,False,p2_only_missing,False,1,,True,False,False,True,True,False,False,True
37,130,Portugal,2020-09-07,2020-09-14,0.0,7.0,0.0,2.6923076923076925,False,False,False,False,both_available,False,2,7.0,True,True,False,True,True,False,False,True
38,130,Portugal,2020-09-24,2020-09-30,1.1666666666666667,6.0,0.0,,False,True,True,False,p2_only_missing,True,3,16.0,True,False,False,True,True,False,False,True
39,130,Portugal,2020-09-30,2020-10-06,0.0,7.0,1.1666666666666667,0.0,False,False,False,False,both_available,False,4,6.0,True,True,False,True,True,False,False,True
40,130,Portugal,2020-10-06,2020-10-13,0.0,7.0,0.0,1.1666666666666667,False,False,False,False,both_available,False,5,7.0,True,True,False,True,True,True,False,True
41,130,Portugal,2020-10-13,2020-10-19,0.0,6.0,0.0,0.0,False,False,False,False,both_available,False,6,6.0,True,True,False,True,True,True,False,True
42,130,Portugal,2020-10-19,2020-10-27,0.0,8.0,0.0,0.0,False,False,False,False,both_available,False,7,8.0,True,True,False,True,True,True,False,True
43,130,Portugal,2020-10-27,2020-11-02,0.0,7.0,0.0,0.0,False,False,False,False,both_available,False,8,6.0,True,True,False,True,True,True,False,True
44,131,Portugal,2020-08-31,2020-09-07,5.0,8.0,3.230769230769231,,False,True,True,False,p2_only_missing,True,1,,True,False,False,True,True,False,False,True
45,131,Portugal,2020-09-07,2020-09-14,0.0,7.0,5.0,3.230769230769231,False,False,False,False,both_available,False,2,7.0,True,True,False,True,True,False,False,True
46,131,Portugal,2020-09-24,2020-09-30,5.833333333333333,6.0,0.0,,False,True,True,False,p2_only_missing,True,3,16.0,True,False,False,True,True,False,False,True
47,131,Portugal,2020-09-30,2020-10-06,0.0,7.0,5.833333333333333,0.0,False,False,False,False,both_available,False,4,6.0,True,True,False,True,True,False,False,True
48,131,Portugal,2020-10-06,2020-10-13,0.0,7.0,0.0,5.833333333333333,False,False,False,False,both_available,False,5,7.0,True,True,False,True,True,True,False,True
49,131,Portugal,2020-10-13,2020-10-19,0.0,6.0,0.0,0.0,False,False,False,False,both_available,False,6,6.0,True,True,False,True,True,True,False,True
50,131,Portugal,2020-10-19,2020-10-27,1.75,8.0,0.0,0.0,False,False,False,False,both_available,True,7,8.0,True,True,False,True,True,True,False,True
51,131,Portugal,2020-10-27,2020-11-02,33.833333333333336,7.0,1.75,0.0,False,False,False,False,both_available,True,8,6.0,True,True,False,True,True,True,False,True
52,132,Greece,2019-12-27,2020-01-03,0.0,7.0,,,True,True,True,True,both_missing,False,1,,True,False,True,False,True,False,True,False
53,132,Greece,2020-01-03,2020-01-10,0.0,7.0,0.0,,False,True,True,False,p2_only_missing,False,2,7.0,True,True,False,True,True,False,True,True
54,132,Greece,2020-01-10,2020-01-17,0.0,7.0,0.0,0.0,False,False,False,False,both_available,False,3,7.0,True,True,False,True,True,True,False,True
55,132,Greece,2020-01-17,2020-01-24,0.0,7.0,0.0,0.0,False,False,False,False,both_available,False,4,7.0,True,True,False,True,True,True,False,True
56,132,Greece,2020-01-24,2020-01-31,0.0,7.0,0.0,0.0,False,False,False,False,both_available,False,5,7.0,True,True,False,True,True,True,False,True
57,132,Greece,2020-01-31,2020-02-07,0.0,7.0,0.0,0.0,False,False,False,False,both_available,False,6,7.0,True,True,False,True,True,True,False,True
58,132,Greece,2020-02-07,2020-02-14,0.0,7.0,0.0,0.0,False,False,False,False,both_available,False,7,7.0,True,True,False,True,True,True,False,True
59,132,Greece,2020-02-14,2020-02-21,0.0,7.0,0.0,0.0,False,False,False,False,both_available,False,8,7.0,True,True,False,True,True,True,False,True
60,132,Greece,2020-02-21,2020-02-28,0.0,7.0,0.0,0.0,False,False,False,False,both_available,False,9,7.0,True,True,False,True,True,True,False,True
61,132,Greece,2020-02-28,2020-03-06,0.0,7.0,0.0,0.0,False,False,False,False,both_available,False,10,7.0,True,True,False,True,True,True,False,True
62,132,Greece,2020-03-06,2020-03-13,0.0,7.0,0.0,0.0,False,False,False,False,both_available,False,11,7.0,True,True,False,True,True,True,False,True
63,132,Greece,2020-03-13,2020-03-20,0.0,7.0,0.0,0.0,False,False,False,False,both_available,False,12,7.0,True,True,False,True,True,True,False,True
64,132,Greece,2020-03-20,2020-03-27,0.0,7.0,0.0,0.0,False,False,False,False,both_available,False,13,7.0,True,True,False,True,True,True,False,True
65,132,Greece,2020-03-27,2020-04-03,0.0,7.0,0.0,0.0,False,False,False,False,both_available,False,14,7.0,True,True,False,True,True,True,False,True
66,132,Greece,2020-04-03,2020-04-10,0.0,7.0,0.0,0.0,False,False,False,False,both_available,False,15,7.0,True,True,False,True,True,True,False,True
67,132,Greece,2020-04-10,2020-04-17,0.0,7.0,0.0,0.0,False,False,False,False,both_available,False,16,7.0,True,True,False,True,True,True,False,True
68,132,Greece,2020-04-17,2020-04-24,0.0,7.0,0.0,0.0,False,False,False,False,both_available,False,17,7.0,True,True,False,True,True,True,False,True
69,132,Greece,2020-04-24,2020-05-01,0.0,7.0,0.0,0.0,False,False,False,False,both_available,False,18,7.0,True,True,False,True,True,True,False,True
70,133,Greece,2019-12-27,2020-01-03,0.0,7.0,,,True,True,True,True,both_missing,False,1,,True,False,True,False,True,False,True,False
71,133,Greece,2020-01-03,2020-01-10,0.0,7.0,0.0,,False,True,True,False,p2_only_missing,False,2,7.0,True,True,False,True,True,False,True,True
72,133,Greece,2020-01-10,2020-01-17,0.0,7.0,0.0,0.0,False,False,False,False,both_available,False,3,7.0,True,True,False,True,True,True,False,True
73,133,Greece,2020-01-17,2020-01-24,0.0,7.0,0.0,0.0,False,False,False,False,both_available,False,4,7.0,True,True,False,True,True,True,False,True
74,133,Greece,2020-01-24,2020-01-31,0.0,7.0,0.0,0.0,False,False,False,False,both_available,False,5,7.0,True,True,False,True,True,True,False,True
75,133,Greece,2020-01-31,2020-02-07,0.0,7.0,0.0,0.0,False,False,False,False,both_available,False,6,7.0,True,True,False,True,True,True,False,True
76,133,Greece,2020-02-07,2020-02-14,0.0,7.0,0.0,0.0,False,False,False,False,both_available,False,7,7.0,True,True,False,True,True,True,False,True
77,133,Greece,2020-02-14,2020-02-21,0.0,7.0,0.0,0.0,False,False,False,False,both_available,False,8,7.0,True,True,False,True,True,True,False,True
78,133,Greece,2020-02-21,2020-02-28,0.0,7.0,0.0,0.0,False,False,False,False,both_available,False,9,7.0,True,True,False,True,True,True,False,True
79,133,Greece,2020-02-28,2020-03-06,0.0,7.0,0.0,0.0,False,False,False,False,both_available,False,10,7.0,True,True,False,True,True,True,False,True
80,133,Greece,2020-03-06,2020-03-13,0.0,7.0,0.0,0.0,False,False,False,False,both_available,False,11,7.0,True,True,False,True,True,True,False,True
81,133,Greece,2020-03-13,2020-03-20,0.0,7.0,0.0,0.0,False,False,False,False,both_available,False,12,7.0,True,True,False,True,True,True,False,True
82,133,Greece,2020-03-20,2020-03-27,0.0,7.0,0.0,0.0,False,False,False,False,both_available,False,13,7.0,True,True,False,True,True,True,False,True
83,133,Greece,2020-03-27,2020-04-03,0.0,7.0,0.0,0.0,False,False,False,False,both_available,False,14,7.0,True,True,False,True,True,True,False,True
84,133,Greece,2020-04-03,2020-04-10,0.0,7.0,0.0,0.0,False,False,False,False,both_available,False,15,7.0,True,True,False,True,True,True,False,True
85,133,Greece,2020-04-10,2020-04-17,0.0,7.0,0.0,0.0,False,False,False,False,both_available,False,16,7.0,True,True,False,True,True,True,False,True
86,133,Greece,2020-04-17,2020-04-24,0.0,7.0,0.0,0.0,False,False,False,False,both_available,False,17,7.0,True,True,False,True,True,True,False,True
87,133,Greece,2020-04-24,2020-05-01,0.0,7.0,0.0,0.0,False,False,False,False,both_available,False,18,7.0,True,True,False,True,True,True,False,True
88,134,Greece,2019-12-27,2020-01-03,0.0,7.0,,,True,True,True,True,both_missing,False,1,,True,False,True,False,True,False,True,False
89,134,Greece,2020-01-03,2020-01-10,0.0,7.0,0.0,,False,True,True,False,p2_only_missing,False,2,7.0,True,True,False,True,True,False,True,True
90,134,Greece,2020-01-10,2020-01-17,0.0,7.0,0.0,0.0,False,False,False,False,both_available,False,3,7.0,True,True,False,True,True,True,False,True
91,134,Greece,2020-01-17,2020-01-24,0.0,7.0,0.0,0.0,False,False,False,False,both_available,False,4,7.0,True,True,False,True,True,True,False,True
92,134,Greece,2020-01-24,2020-01-31,0.0,7.0,0.0,0.0,False,False,False,False,both_available,False,5,7.0,True,True,False,True,True,True,False,True
93,134,Greece,2020-01-31,2020-02-07,0.0,7.0,0.0,0.0,False,False,False,False,both_available,False,6,7.0,True,True,False,True,True,True,False,True
94,134,Greece,2020-02-07,2020-02-14,0.0,7.0,0.0,0.0,False,False,False,False,both_available,False,7,7.0,True,True,False,True,True,True,False,True
95,134,Greece,2020-02-14,2020-02-21,0.0,7.0,0.0,0.0,False,False,False,False,both_available,False,8,7.0,True,True,False,True,True,True,False,True
96,134,Greece,2020-02-21,2020-02-28,0.0,7.0,0.0,0.0,False,False,False,False,both_available,False,9,7.0,True,True,False,True,True,True,False,True
97,134,Greece,2020-02-28,2020-03-06,0.0,7.0,0.0,0.0,False,False,False,False,both_available,False,10,7.0,True,True,False,True,True,True,False,True
98,134,Greece,2020-03-06,2020-03-13,0.0,7.0,0.0,0.0,False,False,False,False,both_available,False,11,7.0,True,True,False,True,True,True,False,True
99,134,Greece,2020-03-13,2020-03-20,0.0,7.0,0.0,0.0,False,False,False,False,both_available,False,12,7.0,True,True,False,True,True,True,False,True
100,134,Greece,2020-03-20,2020-03-27,0.0,7.0,0.0,0.0,False,False,False,False,both_available,False,13,7.0,True,True,False,True,True,True,False,True
101,134,Greece,2020-03-27,2020-04-03,0.0,7.0,0.0,0.0,False,False,False,False,both_available,False,14,7.0,True,True,False,True,True,True,False,True
102,134,Greece,2020-04-03,2020-04-10,0.0,7.0,0.0,0.0,False,False,False,False,both_available,False,15,7.0,True,True,False,True,True,True,False,True
103,134,Greece,2020-04-10,2020-04-17,0.0,7.0,0.0,0.0,False,False,False,False,both_available,False,16,7.0,True,True,False,True,True,True,False,True
104,134,Greece,2020-04-17,2020-04-24,0.0,7.0,0.0,0.0,False,False,False,False,both_available,False,17,7.0,True,True,False,True,True,True,False,True
105,134,Greece,2020-04-24,2020-05-01,0.0,7.0,0.0,0.0,False,False,False,False,both_available,False,18,7.0,True,True,False,True,True,True,False,True
106,135,Greece,2019-12-27,2020-01-03,0.0,7.0,,,True,True,True,True,both_missing,False,1,,True,False,True,False,True,False,True,False
107,135,Greece,2020-01-03,2020-01-10,0.0,7.0,0.0,,False,True,True,False,p2_only_missing,False,2,7.0,True,True,False,True,True,False,True,True
108,135,Greece,2020-01-10,2020-01-17,0.0,7.0,0.0,0.0,False,False,False,False,both_available,False,3,7.0,True,True,False,True,True,True,False,True
109,135,Greece,2020-01-17,2020-01-24,0.0,7.0,0.0,0.0,False,False,False,False,both_available,False,4,7.0,True,True,False,True,True,True,False,True
110,135,Greece,2020-01-24,2020-01-31,0.0,7.0,0.0,0.0,False,False,False,False,both_available,False,5,7.0,True,True,False,True,True,True,False,True
111,135,Greece,2020-01-31,2020-02-07,0.0,7.0,0.0,0.0,False,False,False,False,both_available,False,6,7.0,True,True,False,True,True,True,False,True
112,135,Greece,2020-02-07,2020-02-14,0.0,7.0,0.0,0.0,False,False,False,False,both_available,False,7,7.0,True,True,False,True,True,True,False,True
113,135,Greece,2020-02-14,2020-02-21,0.0,7.0,0.0,0.0,False,False,False,False,both_available,False,8,7.0,True,True,False,True,True,True,False,True
114,135,Greece,2020-02-21,2020-02-28,0.0,7.0,0.0,0.0,False,False,False,False,both_available,False,9,7.0,True,True,False,True,True,True,False,True
115,135,Greece,2020-02-28,2020-03-06,0.0,7.0,0.0,0.0,False,False,False,False,both_available,False,10,7.0,True,True,False,True,True,True,False,True
