id_trap,country,n,start,end,positives,p1_missing,p2_missing,any_missing,both_missing,p1_missing_percent,p2_missing_percent,any_missing_percent,both_missing_percent
1319,Austria,10,2020-05-08,2020-11-03,0,6,7,10,3,60.0,70.0,100.0,30.0
1346,Austria,8,2020-05-20,2020-08-26,0,8,2,8,2,100.0,25.0,100.0,25.0
1233,Austria,6,2020-05-08,2020-10-30,0,5,5,6,4,83.33333333333333,83.33333333333333,100.0,66.66666666666667
1337,Austria,6,2020-05-12,2020-10-09,0,4,5,6,3,66.66666666666667,83.33333333333333,100.0,50.0
198,Spain,5,2020-09-05,2020-10-24,0,3,4,5,2,60.0,80.0,100.0,40.0
195,Spain,4,2020-09-05,2020-10-24,0,3,3,4,2,75.0,75.0,100.0,50.0
879,Serbia,4,2020-08-25,2020-10-09,0,3,3,4,2,75.0,75.0,100.0,50.0
1249,Austria,4,2020-05-08,2020-11-02,0,4,3,4,3,100.0,75.0,100.0,75.0
873,Serbia,3,2020-08-30,2020-10-09,2,2,3,3,2,66.66666666666667,100.0,100.0,66.66666666666667
875,Serbia,3,2020-08-22,2020-10-09,1,2,3,3,2,66.66666666666667,100.0,100.0,66.66666666666667
876,Serbia,3,2020-08-23,2020-10-09,1,2,3,3,2,66.66666666666667,100.0,100.0,66.66666666666667
877,Serbia,3,2020-08-24,2020-10-09,1,2,3,3,2,66.66666666666667,100.0,100.0,66.66666666666667
878,Serbia,3,2020-08-26,2020-10-09,1,3,2,3,2,100.0,66.66666666666667,100.0,66.66666666666667
1021,Italy,3,2020-07-21,2020-08-11,0,2,2,3,1,66.66666666666667,66.66666666666667,100.0,33.333333333333336
1289,Austria,3,2020-08-23,2020-09-20,0,2,3,3,2,66.66666666666667,100.0,100.0,66.66666666666667
1354,Austria,3,2020-09-16,2020-11-03,0,2,3,3,2,66.66666666666667,100.0,100.0,66.66666666666667
1355,Austria,3,2020-09-16,2020-11-03,0,2,3,3,2,66.66666666666667,100.0,100.0,66.66666666666667
1631,The Netherlands,3,2020-08-26,2020-09-23,0,1,2,3,0,33.333333333333336,66.66666666666667,100.0,0.0
871,Serbia,2,2020-08-28,2020-10-09,0,2,2,2,2,100.0,100.0,100.0,100.0
872,Serbia,2,2020-08-29,2020-10-09,2,2,2,2,2,100.0,100.0,100.0,100.0
874,Serbia,2,2020-08-21,2020-10-09,1,2,2,2,2,100.0,100.0,100.0,100.0
1291,Austria,2,2020-06-22,2020-09-27,0,2,2,2,2,100.0,100.0,100.0,100.0
1300,Moldova,2,2020-10-05,2020-10-11,0,1,2,2,1,50.0,100.0,100.0,50.0
1301,Moldova,2,2020-07-12,2020-10-11,0,2,2,2,2,100.0,100.0,100.0,100.0
1302,Moldova,2,2020-10-05,2020-10-11,0,1,2,2,1,50.0,100.0,100.0,50.0
1303,Moldova,2,2020-07-12,2020-10-11,0,2,1,2,1,100.0,50.0,100.0,50.0
1306,Moldova,2,2020-10-05,2020-10-11,0,1,2,2,1,50.0,100.0,100.0,50.0
1356,Austria,2,2020-10-13,2020-11-03,0,1,2,2,1,50.0,100.0,100.0,50.0
1357,Austria,2,2020-10-13,2020-11-03,0,0,2,2,0,0.0,100.0,100.0,0.0
1411,Hungary,2,2020-09-16,2020-09-23,2,1,2,2,1,50.0,100.0,100.0,50.0
1415,Hungary,2,2020-09-16,2020-10-07,2,2,2,2,2,100.0,100.0,100.0,100.0
1465,Austria,2,2020-05-11,2020-08-08,0,2,2,2,2,100.0,100.0,100.0,100.0
1466,Austria,2,2020-05-11,2020-08-08,0,1,2,2,1,50.0,100.0,100.0,50.0
22,Cyprus,1,2020-06-24,2020-06-24,0,0,1,1,0,0.0,100.0,100.0,0.0
24,Cyprus,1,2020-06-24,2020-06-24,0,0,1,1,0,0.0,100.0,100.0,0.0
33,Cyprus,1,2020-10-16,2020-10-16,0,0,1,1,0,0.0,100.0,100.0,0.0
34,Cyprus,1,2020-10-16,2020-10-16,0,0,1,1,0,0.0,100.0,100.0,0.0
35,Cyprus,1,2020-10-16,2020-10-16,0,0,1,1,0,0.0,100.0,100.0,0.0
38,Cyprus,1,2020-06-24,2020-06-24,0,0,1,1,0,0.0,100.0,100.0,0.0
39,Cyprus,1,2020-06-24,2020-06-24,0,1,1,1,1,100.0,100.0,100.0,100.0
41,Cyprus,1,2020-06-24,2020-06-24,0,0,1,1,0,0.0,100.0,100.0,0.0
43,Cyprus,1,2020-10-16,2020-10-16,0,0,1,1,0,0.0,100.0,100.0,0.0
44,Cyprus,1,2020-10-16,2020-10-16,0,0,1,1,0,0.0,100.0,100.0,0.0
45,Cyprus,1,2020-10-16,2020-10-16,0,1,1,1,1,100.0,100.0,100.0,100.0
46,Cyprus,1,2020-10-16,2020-10-16,0,0,1,1,0,0.0,100.0,100.0,0.0
297,Greece,1,2020-09-10,2020-09-10,0,1,1,1,1,100.0,100.0,100.0,100.0
300,Greece,1,2020-09-10,2020-09-10,0,1,1,1,1,100.0,100.0,100.0,100.0
1022,Italy,1,2020-07-28,2020-07-28,0,1,1,1,1,100.0,100.0,100.0,100.0
1024,Italy,1,2020-07-14,2020-07-14,0,1,1,1,1,100.0,100.0,100.0,100.0
1025,Italy,1,2020-07-14,2020-07-14,0,1,1,1,1,100.0,100.0,100.0,100.0
1183,Switzerland,1,2020-09-08,2020-09-08,0,1,1,1,1,100.0,100.0,100.0,100.0
1185,Switzerland,1,2020-09-08,2020-09-08,0,1,1,1,1,100.0,100.0,100.0,100.0
1186,Switzerland,1,2020-09-08,2020-09-08,0,1,1,1,1,100.0,100.0,100.0,100.0
1187,Switzerland,1,2020-09-08,2020-09-08,0,1,1,1,1,100.0,100.0,100.0,100.0
1188,Switzerland,1,2020-09-08,2020-09-08,0,1,1,1,1,100.0,100.0,100.0,100.0
1189,Switzerland,1,2020-09-08,2020-09-08,0,1,1,1,1,100.0,100.0,100.0,100.0
1190,Switzerland,1,2020-09-08,2020-09-08,0,1,1,1,1,100.0,100.0,100.0,100.0
